lat,long,ha,spring,summer,autumn,years_since_2012
49.97358333333333,-119.49963333333334,27.0,0,1,0,0
49.80843333333333,-119.74446666666667,214.0,0,1,0,0
49.213816666666666,-119.79831666666666,14.5,0,1,0,0
49.869883333333334,-119.3073,41.0,0,0,1,0
49.31795,-119.641,30.0,0,0,1,0
49.1461,-119.72473333333333,16.6,0,0,1,0
49.3676,-119.68105,7.3,0,0,1,0
49.91251666666667,-120.82651666666666,9.3,1,0,0,0
49.34158333333333,-120.04825,10.7,1,0,0,0
50.46405,-121.278,125.0,1,0,0,0
50.46405,-121.27815,45.0,1,0,0,0
50.49665,-121.25821666666667,6.1,1,0,0,0
50.15688333333333,-120.86405,55.0,1,0,0,0
50.13855,-120.86711666666666,6.5,1,0,0,0
50.147166666666664,-121.01251666666667,21.1,1,0,0,0
50.49805,-121.24205,12.9,1,0,0,0
49.759166666666665,-120.8066,155.0,0,1,0,0
50.16558333333333,-120.42508333333333,27.4,0,1,0,0
50.29901666666667,-120.36896666666667,7.0,0,1,0,0
50.15938333333333,-120.342,20.6,0,1,0,0
50.15176666666667,-120.7113,9.1,0,1,0,0
50.29813333333333,-119.94861666666667,15.0,0,1,0,0
50.31231666666667,-120.43048333333333,43.0,0,1,0,0
49.95288333333333,-121.09253333333334,20.0,0,1,0,0
49.6225,-120.17283333333333,15.0,0,1,0,0
49.59525,-120.64961666666666,5.1,0,1,0,0
49.73148333333334,-121.08886666666666,8.0,0,1,0,0
50.76083333333333,-121.83261666666667,29.0,1,0,0,0
50.890166666666666,-122.70203333333333,26.0,1,0,0,0
50.842933333333335,-121.70603333333334,140.0,1,0,0,0
50.40891666666667,-121.66073333333334,34.0,0,1,0,0
50.51305,-121.4755,11.0,0,1,0,0
49.52316666666667,-115.567,75.0,1,0,0,0
49.0968,-115.21803333333334,5.5,0,1,0,0
49.62488333333334,-116.6048,30.5,0,1,0,0
49.4658,-115.4488,5.0,0,0,0,0
49.6619,-115.59013333333333,8.6,0,0,0,0
50.27451666666666,-116.14333333333333,53.3,1,0,0,0
50.9319,-115.85321666666667,575.0,0,1,0,0
50.33736666666667,-116.03473333333334,25.0,0,1,0,0
50.39098333333333,-115.48615,35.0,0,1,0,0
49.5383,-118.901,431.0,0,0,1,0
51.05266666666667,-116.24228333333333,13.2,0,1,0,0
51.19788333333333,-117.86795,7.8,0,1,0,0
50.819116666666666,-118.22226666666667,7.5,0,1,0,0
50.27375,-118.18913333333333,33.1,0,1,0,0
